V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
-0.745843431,0.081602748,1.677451457,0.770192919,1.110797044,-0.088142968,-1.004127791,0.413292652,-1.241113239,-0.308419389,0.205630317,1.107613143,0.200381678,0.09171627,-0.894519913,0.175269071,0.420642263,0.189287593,-0.052153076,0.112256477,-1.355596648,-0.476641195,-0.770766462,-1.109063863,-0.562412816,-1.130741241,0.738161886,0.686037794,-2.909355339,0.4743768,1.322589401,-0.272389076,0.724413989,0.676375843,-0.35400816,-0.87094306,-0.440711883,0.26728292,0.932149725,1.260160538,-0.880429445,-0.67321923,0.481679309,0.146924839,0.528705944,-0.486118059,0.121993385,-0.056713014,0.489246806,-0.485600995
-0.745843431,-0.301009627,-0.349035011,1.01920693,0.070950985,-0.470799261,-0.545257774,1.268504765,-2.47463048,0.55472443,0.081830664,1.185661185,0.540468665,-0.052206613,-0.256737648,-1.046304737,-0.557557353,0.391668241,0.340570021,0.495488581,-0.224181269,0.601718554,-0.912178042,0.357640549,-1.502436223,-1.30312035,0.84320089,0.132681955,-1.294563526,-0.077973358,0.17515526,0.699719102,0.419685612,0.741468972,-0.54448616,0.63368278,-0.168953513,0.788978662,0.673128147,0.478189771,0.597254711,-1.881947692,0.602450046,0.037108712,0.571446177,-0.704361883,-0.002692474,0.212921944,0.809544313,-0.85627207
0.342929319,-0.301009627,-0.349035011,0.698912294,0.980639616,0.338701544,1.174519569,1.002027796,0.165878001,-0.237836608,1.29519596,0.893227128,0.816584034,0.59714305,0.63598137,0.103990624,-0.557557353,0.974401397,1.125689312,0.733545224,-0.541944026,0.047959338,0.45601278,-1.109063863,0.159735243,-0.24979702,1.012945918,1.806397101,0.320228286,0.274869555,0.753193831,1.483173446,0.126445773,0.709267939,-1.488431467,1.028243643,0.773015537,0.721346012,0.932149725,1.644122058,-0.243214845,0.315677442,1.117997769,0.624658293,1.194991348,-0.155278583,0.319469944,0.78206437,0.902658089,0.365335948
-0.745843431,-0.476913351,-0.349035011,1.039769777,-0.583027945,0.157462041,-0.006429038,1.491351716,-0.674661448,0.712221159,0.587617547,1.955430057,1.146572989,-0.428876937,0.275985194,0.03023459,0.10316673,0.902179527,1.053460216,0.209435666,0.305871683,0.822551986,0.139779573,-1.109063863,-1.201895435,0.49908204,0.699003803,0.913785765,-0.596837989,1.478643159,1.615965302,0.967791884,0.855120961,1.542159352,-0.052330485,1.103484967,0.499896156,-1.320998676,0.865396153,1.173075369,0.778516835,-1.148844162,-0.552979898,0.146924839,1.246181239,-0.155278583,0.121993385,0.676598244,1.073075897,0.971105441
0.342929319,-0.38460029,-0.349035011,0.329567817,1.338667867,0.48240087,-2.325549714,0.926402242,-0.817679059,-0.136392417,0.976531837,0.677414939,0.047805228,0.216642904,-1.583234163,-0.548600146,1.11284506,1.483059955,0.092432688,0.550708464,-0.393820377,0.381453244,0.637228213,-1.109063863,-0.370898441,-0.459233993,0.874752113,2.15709871,-0.038779362,-0.470134702,1.213164937,1.397858494,0.493473803,0.608395175,-1.074104729,-0.510118716,0.158284837,1.234400768,0.242179009,1.24612122,-0.469678402,-1.267464491,0.145879766,0.037108712,1.246181239,-0.155278583,-0.154680198,0.87911753,0.119465497,-0.420790321
-0.745843431,-0.696652457,-0.349035011,0.928015484,0.816479713,0.223253237,0.573254008,1.141760186,-1.058516138,0.434178181,0.800951048,1.584990675,0.047805228,0.742168854,0.544329893,-1.208129776,-0.557557353,0.54417641,0.976951613,0.550708464,0.231790293,-1.156731406,0.825985818,-1.109063863,-0.986146381,-0.76262715,0.699003803,0.582169662,0.469383714,-0.034864924,1.072460433,1.379959622,-0.011897042,0.803909901,0.374631037,0.418617953,-0.168953513,1.064340746,0.483091186,1.027817299,0.047396017,-3.557088657,0.145879766,-0.087196313,1.577063099,0.291551795,-0.349377897,-0.276655726,0.684331251,0.158553871
0.636532648,-0.38460029,1.677451457,0.290167971,0.930518234,0.791844622,0.347115117,1.07368163,-0.007595998,0.332263546,1.405694267,1.341121312,0.628979271,0.09171627,0.470329549,-0.145732155,0.71566097,0.902179527,-1.158284199,0.601541011,0.696306218,-0.217819677,1.537147146,-1.109063863,-2.001423177,-0.062987371,0.513404074,1.816706833,0.755680269,0.239162337,0.782062496,0.796627,1.272448965,1.274385612,-0.776672216,0.949050873,1.240325872,0.379513962,0.170387325,1.541365833,0.017504269,-0.450939219,0.942572033,0.624658293,1.295442608,0.780496799,0.319469944,0.676598244,1.052808412,0.548348969
-0.745843431,0.02824905,-0.349035011,0.032680986,0.498200344,1.456000437,0.393419638,0.16561193,0.246225782,-1.141631879,0.768421868,0.230034486,-0.52923961,0.327008186,-0.119445449,-0.925181066,0.281460225,0.364519044,0.324342905,0.733545224,-0.661540581,-1.753857205,0.972039935,1.114279128,-0.370898441,-0.459233993,1.083649014,0.439163723,0.694695594,-0.470134702,0.17515526,0.699719102,0.336161969,-0.317743394,-0.776672216,0.167704656,-0.168953513,0.137986112,0.370635839,1.24612122,-0.880429445,-1.267464491,-0.552979898,0.146924839,0.836924781,-0.30707782,0.753197649,0.831557871,0.041144941,0.326069849
-0.745843431,-0.831062029,-0.349035011,-2.320970137,1.148832512,0.223253237,-0.749663899,0.468775579,-0.101685336,0.383865146,1.214067216,0.18591688,0.127534526,0.742168854,-0.077169815,-0.573391506,0.420642263,0.250215746,-2.33412544,0.648632365,0.018068599,-1.242678781,0.390843128,-1.109063863,-0.151023868,0.023363687,0.565004786,0.849630815,0.811597894,0.309826565,1.096685193,0.993866385,0.419685612,0.073092212,0.537365371,0.63368278,0.709676281,-0.770250872,0.09239933,0.637514883,-0.174101504,0.192815131,0.942572033,-0.230403066,-0.066099988,0.457211522,0.121993385,0.364343256,0.157135779,0.158553871
-0.745843431,0.308707982,-0.349035011,-1.036666075,-0.583027945,-0.665633327,-0.148583822,0.622851671,0.322843756,0.48326544,0.626501567,-0.17421866,-0.040243547,0.09171627,-0.163372887,-0.04617749,1.069149344,1.654139521,-3.859749734,-0.142077762,-0.099022573,0.047959338,1.148436286,-1.109063863,0.380666135,0.433877353,0.068326343,-0.4410738,1.12710111,-0.312051419,1.322589401,0.665391964,0.419685612,0.773007386,-1.488431467,1.2097455,0.643261124,-1.320998676,0.583093594,0.732102325,-0.174101504,0.88495346,0.704845496,0.334341559,-0.13642525,0.197146325,0.473141377,0.12950765,0.603826252,0.403658059
