seed,est0,est1,est2,est3,est4,est5,est6,est7,est8,est9,hasMet,tau,nStep,nXstep,timeTaken
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.03
230,0.225,0.965,0.985,0.995,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.46
430,,,,,,,,,,,False,-1,7503,3752,400.0
31,0.77,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.42
231,,,,,,,,,,,False,-1,7333,3667,400.08
431,0.38,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.48
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
232,,,,,,,,,,,False,-1,7053,3527,400.08
432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.03
33,,,,,,,,,,,False,-1,7449,3725,400.06
233,,,,,,,,,,,False,-1,7609,3805,400.11
433,-9.375,-13.33,-6.765,0.975,1.0,1.0,1.0,1.0,1.0,1.0,True,76,151,76,6.82
34,0.375,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.48
234,0.935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.27
434,0.835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.25
35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
235,0.59,1.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.58
435,-4.505,-7.085,-5.84,0.955,0.995,1.0,1.0,1.0,1.0,1.0,True,68,135,68,8.52
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
236,0.645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.45
436,0.84,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.45
37,-0.215,1.025,0.97,0.99,0.995,1.0,1.0,1.0,1.0,1.0,True,88,175,88,7.79
237,0.375,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.6
437,0.235,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.48
38,,,,,,,,,,,False,-1,7467,3734,400.02
238,,,,,,,,,,,False,-1,7631,3816,400.03
438,0.615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.39
39,0.705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.39
239,0.19,0.98,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.51
439,0.375,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,9,17,9,0.76
40,0.535,0.985,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.36
240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.03
440,0.67,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.56
41,0.46,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.39
241,0.705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.44
441,0.605,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.32
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
43,,,,,,,,,,,False,-1,7039,3520,400.05
243,,,,,,,,,,,False,-1,7889,3945,400.06
443,0.445,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.34
44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
244,0.705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.45
444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
